Instancia;MelhorConhecido;Algoritmo;Alpha;Iteracoes;Bloco;Melhor10Execucoes;Media10Execucoes;TempoMedio(s);DesvioMelhor(%);DesvioMedia(%);MelhorSemente
b10;86.000000;Randomizado_alpha_0.3;0.3;30;-;89.000000;89.800000;0.022461;3.488372;4.418605;100902
b10;86.000000;Randomizado_alpha_0.4;0.4;30;-;88.000000;89.400000;0.022088;2.325581;3.953488;100905
b10;86.000000;Reativo_0.2_0.3_0.4;-;300;30;90.000000;90.000000;0.236201;4.651163;4.651163;100900
b11;88.000000;Guloso;-;-;-;91.000000;91.000000;0.555960;3.409091;3.409091;101000
b11;88.000000;Randomizado_alpha_0.2;0.2;30;-;88.000000;89.200000;0.027291;0.000000;1.363636;101000
b11;88.000000;Randomizado_alpha_0.3;0.3;30;-;88.000000;89.500000;0.026985;0.000000;1.704545;101000
b11;88.000000;Randomizado_alpha_0.4;0.4;30;-;88.000000;90.000000;0.028981;0.000000;2.272727;101002
b11;88.000000;Reativo_0.2_0.3_0.4;-;300;30;90.000000;90.000000;0.273257;2.272727;2.272727;101000
b12;174.000000;Guloso;-;-;-;177.000000;177.000000;1.282476;1.724138;1.724138;101100
b12;174.000000;Randomizado_alpha_0.2;0.2;30;-;174.000000;175.200000;0.043854;0.000000;0.689655;101102
b12;174.000000;Randomizado_alpha_0.3;0.3;30;-;174.000000;175.400000;0.044567;0.000000;0.804598;101106
b12;174.000000;Randomizado_alpha_0.4;0.4;30;-;175.000000;176.300000;0.046468;0.574713;1.321839;101100
b12;174.000000;Reativo_0.2_0.3_0.4;-;300;30;176.000000;176.000000;0.461414;1.149425;1.149425;101100
b13;165.000000;Guloso;-;-;-;173.000000;173.000000;1.161433;4.848485;4.848485;101200
b13;165.000000;Randomizado_alpha_0.2;0.2;30;-;173.000000;173.200000;0.039306;4.848485;4.969697;101200
b13;165.000000;Randomizado_alpha_0.3;0.3;30;-;171.000000;172.900000;0.040154;3.636364;4.787879;101202
b13;165.000000;Randomizado_alpha_0.4;0.4;30;-;171.000000;172.500000;0.038587;3.636364;4.545455;101208
b13;165.000000;Reativo_0.2_0.3_0.4;-;300;30;173.000000;173.000000;0.362462;4.848485;4.848485;101200
b14;235.000000;Guloso;-;-;-;241.000000;241.000000;1.777901;2.553191;2.553191;101300
b14;235.000000;Randomizado_alpha_0.2;0.2;30;-;235.000000;237.800000;0.051800;0.000000;1.191489;101302
b14;235.000000;Randomizado_alpha_0.3;0.3;30;-;236.000000;238.200000;0.052253;0.425532;1.361702;101302
b14;235.000000;Randomizado_alpha_0.4;0.4;30;-;237.000000;240.300000;0.052561;0.851064;2.255319;101309
b14;235.000000;Reativo_0.2_0.3_0.4;-;300;30;235.000000;235.100000;0.526479;0.000000;0.042553;101300
b15;318.000000;Guloso;-;-;-;328.000000;328.000000;3.723376;3.144654;3.144654;101400
b15;318.000000;Randomizado_alpha_0.2;0.2;30;-;319.000000;321.100000;0.075332;0.314465;0.974843;101405
b15;318.000000;Randomizado_alpha_0.3;0.3;30;-;320.000000;321.900000;0.077655;0.628931;1.226415;101408
b15;318.000000;Randomizado_alpha_0.4;0.4;30;-;320.000000;323.300000;0.078069;0.628931;1.666667;101406
b15;318.000000;Reativo_0.2_0.3_0.4;-;300;30;320.000000;321.400000;0.776896;0.628931;1.069182;101401
b16;127.000000;Guloso;-;-;-;133.000000;133.000000;1.041379;4.724409;4.724409;101500
b16;127.000000;Randomizado_alpha_0.2;0.2;30;-;127.000000;128.600000;0.033929;0.000000;1.259843;101504
b16;127.000000;Randomizado_alpha_0.3;0.3;30;-;127.000000;128.800000;0.033691;0.000000;1.417323;101503
b16;127.000000;Randomizado_alpha_0.4;0.4;30;-;127.000000;129.000000;0.034401;0.000000;1.574803;101502
b16;127.000000;Reativo_0.2_0.3_0.4;-;300;30;131.000000;131.000000;0.375407;3.149606;3.149606;101500
b17;131.000000;Guloso;-;-;-;132.000000;132.000000;1.877219;0.763359;0.763359;101600
b17;131.000000;Randomizado_alpha_0.2;0.2;30;-;131.000000;131.000000;0.053229;0.000000;0.000000;101600
b17;131.000000;Randomizado_alpha_0.3;0.3;30;-;131.000000;131.600000;0.053571;0.000000;0.458015;101602
b17;131.000000;Randomizado_alpha_0.4;0.4;30;-;131.000000;131.300000;0.054844;0.000000;0.229008;101600
b17;131.000000;Reativo_0.2_0.3_0.4;-;300;30;131.000000;131.000000;0.506505;0.000000;0.000000;101600
b18;218.000000;Guloso;-;-;-;231.000000;231.000000;3.981979;5.963303;5.963303;101700
b18;218.000000;Randomizado_alpha_0.2;0.2;30;-;223.000000;224.600000;0.079915;2.293578;3.027523;101706
b18;218.000000;Randomizado_alpha_0.3;0.3;30;-;223.000000;224.600000;0.080023;2.293578;3.027523;101704
b18;218.000000;Randomizado_alpha_0.4;0.4;30;-;220.000000;224.700000;0.082168;0.917431;3.073394;101704
b18;218.000000;Reativo_0.2_0.3_0.4;-;300;30;221.000000;222.500000;0.822199;1.376147;2.064220;101707
oddcycle3;4.000000;Guloso;-;-;-;4.000000;4.000000;0.000034;0.000000;0.000000;101800
oddcycle3;4.000000;Randomizado_alpha_0.2;0.2;30;-;4.000000;4.000000;0.000269;0.000000;0.000000;101800
oddcycle3;4.000000;Randomizado_alpha_0.3;0.3;30;-;4.000000;4.000000;0.000260;0.000000;0.000000;101800
oddcycle3;4.000000;Randomizado_alpha_0.4;0.4;30;-;4.000000;4.000000;0.000255;0.000000;0.000000;101800
oddcycle3;4.000000;Reativo_0.2_0.3_0.4;-;300;30;4.000000;4.000000;0.002583;0.000000;0.000000;101800
oddwheel3;5.000000;Guloso;-;-;-;5.000000;5.000000;0.000074;0.000000;0.000000;101900
oddwheel3;5.000000;Randomizado_alpha_0.2;0.2;30;-;5.000000;5.000000;0.000405;0.000000;0.000000;101900
oddwheel3;5.000000;Randomizado_alpha_0.3;0.3;30;-;5.000000;5.000000;0.000410;0.000000;0.000000;101900
oddwheel3;5.000000;Randomizado_alpha_0.4;0.4;30;-;5.000000;5.000000;0.000408;0.000000;0.000000;101900
oddwheel3;5.000000;Reativo_0.2_0.3_0.4;-;300;30;5.000000;5.000000;0.003800;0.000000;0.000000;101900
