DataHora;Instancia;Algoritmo;Alpha;Iteracoes;Bloco;Semente;Tempo(s);ValorObtido
2026-07-13 10:15:40;b02;Guloso;-;-;-;100107;0.080362;90.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.2;0.2;30;-;100107;0.012130;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.3;0.3;30;-;100107;0.011907;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.4;0.4;30;-;100107;0.010594;84.000000
2026-07-13 10:15:40;b02;Reativo_0.2_0.3_0.4;-;300;30;100107;0.095194;85.000000
2026-07-13 10:15:40;b02;Guloso;-;-;-;100108;0.079089;90.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.2;0.2;30;-;100108;0.010609;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.3;0.3;30;-;100108;0.009951;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.4;0.4;30;-;100108;0.009784;84.000000
2026-07-13 10:15:40;b02;Reativo_0.2_0.3_0.4;-;300;30;100108;0.087539;85.000000
2026-07-13 10:15:40;b02;Guloso;-;-;-;100109;0.075109;90.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.2;0.2;30;-;100109;0.008702;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.3;0.3;30;-;100109;0.009331;84.000000
2026-07-13 10:15:40;b02;Randomizado_alpha_0.4;0.4;30;-;100109;0.009126;84.000000
2026-07-13 10:15:40;b02;Reativo_0.2_0.3_0.4;-;300;30;100109;0.097569;85.000000
2026-07-13 10:15:40;b03;Guloso;-;-;-;100200;0.144254;139.000000
2026-07-13 10:15:40;b03;Randomizado_alpha_0.2;0.2;30;-;100200;0.011159;139.000000
2026-07-13 10:15:40;b03;Randomizado_alpha_0.3;0.3;30;-;100200;0.012099;139.000000
2026-07-13 10:15:40;b03;Randomizado_alpha_0.4;0.4;30;-;100200;0.012391;139.000000
2026-07-13 10:15:41;b03;Reativo_0.2_0.3_0.4;-;300;30;100200;0.127825;139.000000
2026-07-13 10:15:41;b03;Guloso;-;-;-;100201;0.154719;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.2;0.2;30;-;100201;0.011773;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.3;0.3;30;-;100201;0.011754;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.4;0.4;30;-;100201;0.013076;139.000000
2026-07-13 10:15:41;b03;Reativo_0.2_0.3_0.4;-;300;30;100201;0.120136;139.000000
2026-07-13 10:15:41;b03;Guloso;-;-;-;100202;0.140605;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.2;0.2;30;-;100202;0.011033;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.3;0.3;30;-;100202;0.012252;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.4;0.4;30;-;100202;0.012738;139.000000
2026-07-13 10:15:41;b03;Reativo_0.2_0.3_0.4;-;300;30;100202;0.118654;139.000000
2026-07-13 10:15:41;b03;Guloso;-;-;-;100203;0.137289;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.2;0.2;30;-;100203;0.012230;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.3;0.3;30;-;100203;0.012501;139.000000
2026-07-13 10:15:41;b03;Randomizado_alpha_0.4;0.4;30;-;100203;0.012209;139.000000
2026-07-13 10:15:41;b03;Reativo_0.2_0.3_0.4;-;300;30;100203;0.126258;139.000000
2026-07-13 10:15:42;b03;Guloso;-;-;-;100204;0.147774;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.2;0.2;30;-;100204;0.012010;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.3;0.3;30;-;100204;0.011589;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.4;0.4;30;-;100204;0.013164;139.000000
2026-07-13 10:15:42;b03;Reativo_0.2_0.3_0.4;-;300;30;100204;0.129265;139.000000
2026-07-13 10:15:42;b03;Guloso;-;-;-;100205;0.150767;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.2;0.2;30;-;100205;0.012438;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.3;0.3;30;-;100205;0.011382;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.4;0.4;30;-;100205;0.012851;139.000000
2026-07-13 10:15:42;b03;Reativo_0.2_0.3_0.4;-;300;30;100205;0.133101;139.000000
2026-07-13 10:15:42;b03;Guloso;-;-;-;100206;0.179140;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.2;0.2;30;-;100206;0.013244;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.3;0.3;30;-;100206;0.013042;139.000000
2026-07-13 10:15:42;b03;Randomizado_alpha_0.4;0.4;30;-;100206;0.015991;139.000000
2026-07-13 10:15:42;b03;Reativo_0.2_0.3_0.4;-;300;30;100206;0.130250;139.000000
2026-07-13 10:15:43;b03;Guloso;-;-;-;100207;0.139174;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.2;0.2;30;-;100207;0.011074;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.3;0.3;30;-;100207;0.012120;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.4;0.4;30;-;100207;0.013993;139.000000
2026-07-13 10:15:43;b03;Reativo_0.2_0.3_0.4;-;300;30;100207;0.143771;139.000000
2026-07-13 10:15:43;b03;Guloso;-;-;-;100208;0.153192;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.2;0.2;30;-;100208;0.011386;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.3;0.3;30;-;100208;0.012599;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.4;0.4;30;-;100208;0.013092;139.000000
2026-07-13 10:15:43;b03;Reativo_0.2_0.3_0.4;-;300;30;100208;0.130060;139.000000
2026-07-13 10:15:43;b03;Guloso;-;-;-;100209;0.146291;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.2;0.2;30;-;100209;0.014187;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.3;0.3;30;-;100209;0.014983;139.000000
2026-07-13 10:15:43;b03;Randomizado_alpha_0.4;0.4;30;-;100209;0.012577;139.000000
2026-07-13 10:15:43;b03;Reativo_0.2_0.3_0.4;-;300;30;100209;0.119957;139.000000
2026-07-13 10:15:43;b04;Guloso;-;-;-;100300;0.074453;62.000000
2026-07-13 10:15:43;b04;Randomizado_alpha_0.2;0.2;30;-;100300;0.011314;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100300;0.010372;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100300;0.011742;59.000000
2026-07-13 10:15:44;b04;Reativo_0.2_0.3_0.4;-;300;30;100300;0.093620;59.000000
2026-07-13 10:15:44;b04;Guloso;-;-;-;100301;0.065158;62.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.2;0.2;30;-;100301;0.009723;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100301;0.010727;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100301;0.009674;59.000000
2026-07-13 10:15:44;b04;Reativo_0.2_0.3_0.4;-;300;30;100301;0.088347;59.000000
2026-07-13 10:15:44;b04;Guloso;-;-;-;100302;0.065532;62.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.2;0.2;30;-;100302;0.009188;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100302;0.008026;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100302;0.008374;59.000000
2026-07-13 10:15:44;b04;Reativo_0.2_0.3_0.4;-;300;30;100302;0.097188;59.000000
2026-07-13 10:15:44;b04;Guloso;-;-;-;100303;0.057368;62.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.2;0.2;30;-;100303;0.009755;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100303;0.008693;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100303;0.008259;59.000000
2026-07-13 10:15:44;b04;Reativo_0.2_0.3_0.4;-;300;30;100303;0.084550;59.000000
2026-07-13 10:15:44;b04;Guloso;-;-;-;100304;0.058223;62.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.2;0.2;30;-;100304;0.010810;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100304;0.011184;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100304;0.009631;59.000000
2026-07-13 10:15:44;b04;Reativo_0.2_0.3_0.4;-;300;30;100304;0.094327;59.000000
2026-07-13 10:15:44;b04;Guloso;-;-;-;100305;0.067833;62.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.2;0.2;30;-;100305;0.009024;60.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.3;0.3;30;-;100305;0.007980;59.000000
2026-07-13 10:15:44;b04;Randomizado_alpha_0.4;0.4;30;-;100305;0.009218;59.000000
2026-07-13 10:15:45;b04;Reativo_0.2_0.3_0.4;-;300;30;100305;0.081972;59.000000
2026-07-13 10:15:45;b04;Guloso;-;-;-;100306;0.062954;62.000000
2026-07-13 10:15:45;b04;Randomizado_alpha_0.2;0.2;30;-;100306;0.008372;60.000000
